Name,SID,Role,Email address,Sections
Emma Martinez,2103456789,Student,emartinez1@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Liam Johnson,2104567890,Student,ljohnson2@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Olivia Nguyen,2105678901,Student,onguyen3@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Noah Kim,2106789012,Student,nkim4@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Ava Singh,2107890123,Student,asingh5@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Elijah Brown,2108901234,Student,ebrown6@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Sophia Chen,2109012345,Student,schen7@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
James Garcia,2100123456,Student,jgarcia8@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Mia Patel,2111234567,Student,mpatel9@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Benjamin Rivera,2112345678,Student,brivera10@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Isabella Thomas,2113456789,Student,ithomas11@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Lucas Torres,2114567890,Student,ltorres12@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Charlotte Ali,2115678901,Student,cali13@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Henry Zhao,2116789012,Student,hzhao14@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Amelia Johnson,2117890123,Student,ajohnson15@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Alexander Park,2118901234,Student,apark16@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Harper Williams,2119012345,Student,hwilliams17@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Daniel Hernandez,2110123456,Student,dhernandez18@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Evelyn Smith,2121234567,Student,esmith19@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Matthew Tran,2122345678,Student,mtran20@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Abigail Gomez,2123456789,Student,agomez21@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Jackson Wu,2124567890,Student,jwu22@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Ella Lee,2125678901,Student,elee23@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Sebastian Ramirez,2126789012,Student,sramirez24@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Grace Robinson,2127890123,Student,grobinson25@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
David Lopez,2128901234,Student,dlopez26@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Aria Clark,2129012345,Student,aclark27@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Aiden Sanchez,2120123456,Student,asanchez28@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Lily Scott,2131234567,Student,lscott29@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
Joseph Perez,2132345678,Student,jperez30@university.edu,"COMPSCI 61B DIS 999 (In Person), COMPSCI 61B LAB 999L (In Person), COMPSCI 61B LEC 001 (In Person)"
